ContactId,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Business unit,Pricingparentid,Pricingparent Description,LastSaleDate,Route,Branch,Route Code,Zone Number,Division,District,Customer Region,Customer Branch,Billing code
1234567,abc,111,222,234,def,US,54789,123456789,12,,,,26,636,qwe,123,,,,ofg,123
,Yesway/Allsup #102160,2515 W 2nd St,,,Roswell,NM,88201,(575) 625-9939,,9001246,,,,,,,,,,,
,Yesway/Allsup #102223,1603 North First,,,Artesia,NM,88210,575-748-3467,,9001246,,,,,,,,,,,
,Yesway/Allsup #102286,501 W. McGaffey Street,,,Roswell,NM,88203,(575) 625-9941,,9001246,,,,,,,,,,,
,Yesway/Allsup #102308,110 West Kansas Ave,,,Jal,NM,88252,575-395-2064,,9001246,,,,,,,,,,,
,Yesway/Allsup #102392,5500 N. Main St,,,Roswell,NM,88203,(575) 623-9930,,9001246,,,,,,,,,,,
,Yesway/Allsup #102379,28691 US Highway 70**,,,Tinnie,NM,88351,575-653-4622,,9001246,,,,,,,,,,,
,Yesway/Allsup #102377,820 US Hwy 70,,,Alamogordo,NM,88310,(575) 437-2867,,9001246,,,,,,,,,,,
,Yesway/Allsup #102404,4412 National Parks Hwy,,,Carlsbad,NM,88220,(575) 885-9538,,9001246,,,,,,,,,,,
,Yesway/Allsup #102373,1201 Mechem,,,Ruidoso,NM,88345,,,9001246,,,,,,,,,,,
,Yesway/Allsup #102400,2369 State Highway 469,,,San Jon,NM,88434,(575) 576-9252,,9001246,,,,,,,,,,,
,Yesway/Allsup #102387,1107 NE Hwy 54**,,,Guymon,OK,73942,(580) 338-4229,,9001246,,,,,,,,,,,
,Yesway/Allsup #102408,1711 North Main Street,,,Altus,OK,73521,(580) 379-4382,,9001246,,,,,,,,,,,
,Yesway/Allsup #102420,1419 South Main Street,,,Altus,OK,73521,(580) 379-2369,,9001246,,,,,,,,,,,
,Yesway/Allsup #102423,607 South 1st Street,,,Madill,OK,73446,,,9001246,,,,,,,,,,,
,Yesway/Allsup #102056,1014 N Boykin Dr,,,Memphis,TX,79245,(806) 259-2391,,9001246,,,,,,,,,,,
,Yesway/Allsup #102228,601 Graham St,,,Tuscola,TX,79562,325-554-7523,,9001246,,,,,,,,,,,
,Yesway/Allsup #102166,302 N 15th St,,,Canyon,TX,79015,(806) 655-9633,,9001246,,,,,,,,,,,
,Yesway/Allsup #102305,1303 East 1st Street,,,Hereford,TX,79045,806-364-8008,,9001246,,,,,,,,,,,
,Yesway/Allsup #102007,201 N Cates St,,,Decatur,TX,76234,940-627-3444,,9001246,,,,,,,,,,,
,Yesway/Allsup #102313,1153 US-377,,,Pilot Point,TX,76258,(940) 686-5011,,9001246,,,,,,,,,,,
,Yesway/Allsup #102332,4002 Ridgemont Dr,,,Abilene,TX,79606,325-691-0972,,9001246,,,,,,,,,,,
,Yesway/Allsup #102380,304 East US Hwy 84**,,,Sudan,TX,79371,806-227-2254,,9001246,,,,,,,,,,,
,Yesway/Allsup #102384,410 East 11th**,,,Friona,TX,79035,806-247-8010,,9001246,,,,,,,,,,,
,Yesway/Allsup #102406,163 North Hwy 329,,,Rankin,TX,79778,(432) 693-2389,,9001246,,,,,,,,,,,
,Yesway/Allsup #102381,1590 Northwest Parkway**,,,Azle,TX,76020,817-677-2899,,9001246,,,,,,,,,,,
,Yesway/Allsup #102390,9232 Interstate 20,,,Merkel,TX,79536,(325) 928-5584,,9001246,,,,,,,,,,,
,Yesway/Allsup #102391,1101 N. 7th,,,Merkel,TX,79536,(325) 928-1505,,9001246,,,,,,,,,,,
,Yesway/Allsup #102382,2601 South Oak Ave,,,Mineral Wells,TX,76067,(940) 325-3996,,9001246,,,,,,,,,,,
,Yesway/Allsup #102396,701 Dowden Rd,,,Wolfforth,TX,79382,(806) 866-9242,,9001246,,,,,,,,,,,
,Yesway/Allsup #102385,2817 W. Walker,,,Breckenridge,TX,76424,(254) 559-2217,,9001246,,,,,,,,,,,
,Yesway/Allsup #102388,5420 4th Ave,,,Canyon,TX,79015,(806) 656-0189,,9001246,,,,,,,,,,,
,Yesway/Allsup #102407,2576 North Front Street,,,Ft. Stockton,TX,79735,(432) 299-2225,,9001246,,,,,,,,,,,
,Yesway/Allsup #102405,820 Commerce St**,,,Robert Lee,TX,76945,(325) 453-2047,,9001246,,,,,,,,,,,
,Yesway/Allsup #102383,810 East Walker**,,,Breckenridge,TX,76424,254-559-2229,,9001246,,,,,,,,,,,
,Yesway/Allsup #103001,1111 University Ave,,,Lubbock,TX,79401,(806) 744-2028,,9001246,,,,,,,,,,,
,Yesway/Allsup #102386,947 East Interstate Highway 20,,,Colorado City,TX,79512,(325) 728-5239,,9001246,,,,,,,,,,,
,Yesway/Allsup #102399,225 W 1st St,,,Claude,TX,79019,(806) 226-5038,,9001246,,,,,,,,,,,
,Yesway/Allsup #102398,2300 Perryton Parkway**,,,Pampa,TX,79065,806-665-6137,,9001246,,,,,,,,,,,
,Yesway/Allsup #102401,4028 S. Bryant Blvd,,,San Angelo,TX,76903,(325) 650-6925,,9001246,,,,,,,,,,,
,Yesway/Allsup #102403,1900 Hwy 180 West,,,Mineral Wells,TX,76067,(940) 325-3999,,9001246,,,,,,,,,,,
,Yesway/Allsup #102411,510 East Access Road,,,Hawley,TX,79525,(325) 537-3552,,9001246,,,,,,,,,,,
,Yesway/Allsup #102416,2001 Lamar St,,,Sweetwater,TX,79556,(325) 235-8203,,9001246,,,,,,,,,,,
,Yesway/Allsup #102424,112 FM 113,,,Millsap,TX,76066,(940) 682-1126,,9001246,,,,,,,,,,,
,Yesway/Allsup #102326,2550 S. Clack St,,,Abilene,TX,79606,325-695-0350,,9001246,,,,,,,,,,,
,Yesway/Allsup #102412,705 West Highway 199,,,Springtown,TX,76082,(817) 220-1158,,9001246,,,,,,,,,,,
,Yesway/Allsup #102418,102 N College Ave,,,Snyder,TX,79549,(325) 573-0704,,9001246,,,,,,,,,,,
,Yesway/Allsup #102428,965 Hwy 83-84,,,Abilene,TX,79602,(325) 691-8952,,9001246,,,,,,,,,,,
,Yesway/Allsup #102414,800 12th St,,,Roscoe,TX,79545,(325) 766-3804,,9001246,,,,,,,,,,,
,Yesway/Allsup #102410,900 S. Bosque St,,,Whitney,TX,76692,,,9001246,,,,,,,,,,,
,Yesway/Allsup #102415,506 W Morgan,,,Meridian,TX,76665,254-435-2366,,9001246,,,,,,,,,,,
,Yesway/Allsup #102427,3304 E Main St,,,Gatesville,TX,76528,254-493-2332,,9001246,,,,,,,,,,,
,Yesway/Allsup #102438,103 SE 17th Ave,,,Mineral Wells,TX,76067,,,9001246,,,,,,,,,,,
,Yesway/Allsup #102430,779 S. Main Street,,,Jacksboro,TX,76458,,,9001246,,,,,,,,,,,
,Yesway/Allsup #102422,1015 N Broadway St,,,Mertzon,TX,76941,,,9001246,,,,,,,,,,,
,Yesway/Allsup #102437,1850 E State Hwy 176,,,Andrews,TX,79714,,,9001246,,,,,,,,,,,
